Genes,peak_time,Distance
YHR213W-B,23.0,4.062264481304697
CSI1,64.0,4.062776864518969
SEN34,24.0,4.064295391452704
LAG1,40.0,4.064775060063889
GEF1,14.0,4.066063680146016
YBR184W,42.0,4.066138629929064
HEM15,21.0,4.066427140471898
RFA2,26.0,4.066705918365149
POL32,24.0,4.066742049451971
RPI1,64.0,4.066928962298663
DAD1,46.0,4.069113712542683
GLG2,48.0,4.070783211601101
YOR032W-A,22.0,4.071423409053224
RGL1,24.0,4.071558284554474
CTI6,69.0,4.071689965692301
MAG1,5.0,4.072002676642102
MLC1,1.0,4.074909258180292
ABZ1,25.0,4.0757904121313
TUB3,47.0,4.076696446388148
IRC5,28.0,4.07783607762106
YBR292C,26.0,4.078469175401805
TIF4632,57.0,4.079398975669919
MSS4,48.0,4.079725725452823
VPS38,61.0,4.080209148712715
VAC17,51.0,4.080390632415804
LGE1,63.0,4.080899620046893
ATF2,60.0,4.081643825587781
YMR018W,47.0,4.082182716408252
VPS21,1.0,4.0825025370174
BCK1,28.0,4.082532432034773
CBP4,71.0,4.085877817297105
GIT1,13.0,4.088295144055578
PBP2,27.0,4.08902412095139
FSH3,23.0,4.090148987532698
DPB3,27.0,4.092786517661702
RFC4,23.0,4.094336340304171
GLO3,47.0,4.095793112231191
YAL044W-A,17.0,4.0963482651749805
MEH1,8.0,4.096982623937729
CDC23,43.0,4.098251375351332
GRX4,25.0,4.099088281067373
TAF9,5.0,4.100066630195406
CAF120,32.0,4.1008319281282475
CWC15,9.0,4.100928586563559
YAR028W,50.0,4.100932630286592
PAC11,36.0,4.102692317000145
SLK19,31.0,4.1033452121350455
ALK1,56.0,4.103862830572793
RKM1,28.0,4.10395418998878
YHR214C-B,18.0,4.108851393475393
HPA3,20.0,4.110044012556665
AKR1,59.0,4.111020947842989
ODC1,5.0,4.111557179360101
SNT309,68.0,4.111635910303115
ACB1,17.0,4.111827811242608
YBR027C,38.0,4.11260184948666
YMR1,53.0,4.112859787817919
VID27,59.0,4.113234130086949
DUN1,30.0,4.113856146731921
YJL193W,43.0,4.113923460303827
TIM23,7.0,4.115615785787177
SPC3,13.0,4.116501917080013
ATP17,3.0,4.116509527374348
COG8,67.0,4.1170804615110335
MMR1,60.0,4.117348649485827
FMP27,6.0,4.117577564906042
YKL023W,2.0,4.1186719206155855
RPL15B,5.0,4.119102702356585
RDH54,28.0,4.119436449492496
FCP1,39.0,4.1197467147043625
RFA1,23.0,4.120576739583951
HST2,12.0,4.120708786025985
YER010C,25.0,4.120709023571108
IWR1,1.0,4.121464474454928
UME6,44.0,4.12235373254257
