,start,end,path,graph,time
525,NRM1,SWI4,"['NRM1', 'SWI4']",grn,12.215241383799537
526,NRM1,SWI5,,grn,
527,NRM1,SWI6,,grn,
528,NRM1,TOS4,"['NRM1', 'YOX1', 'TOS4']",grn,19.201208831446987
529,NRM1,WHI5,"['NRM1', 'WHI5']",grn,9.975049748486859
530,NRM1,YHP1,"['NRM1', 'YHP1']",grn,11.247185503664513
531,NRM1,YOX1,"['NRM1', 'YOX1']",grn,4.0456040481448445
532,PLM2,ACE2,,grn,
533,PLM2,CDC20,,grn,
534,PLM2,CDH1,,grn,
535,PLM2,CLB1,,grn,
536,PLM2,CLB2,,grn,
537,PLM2,CLB3,,grn,
538,PLM2,CLB4,,grn,
539,PLM2,CLB5,,grn,
540,PLM2,CLB6,,grn,
541,PLM2,CLN1,,grn,
542,PLM2,CLN2,,grn,
543,PLM2,CLN3,,grn,
544,PLM2,FKH1,,grn,
545,PLM2,FKH2,,grn,
546,PLM2,HCM1,,grn,
547,PLM2,MBP1,,grn,
548,PLM2,MCM1,,grn,
549,PLM2,NDD1,,grn,
550,PLM2,NRM1,,grn,
551,PLM2,PLM2,,grn,
552,PLM2,STB1,,grn,
553,PLM2,SWI4,,grn,
554,PLM2,SWI5,,grn,
555,PLM2,SWI6,,grn,
556,PLM2,TOS4,,grn,
557,PLM2,WHI5,,grn,
558,PLM2,YHP1,,grn,
559,PLM2,YOX1,,grn,
560,STB1,ACE2,,grn,
561,STB1,CDC20,,grn,
562,STB1,CDH1,"['STB1', 'NRM1', 'CDH1']",grn,23.435102023933517
563,STB1,CLB1,,grn,
564,STB1,CLB2,,grn,
565,STB1,CLB3,"['STB1', 'NRM1', 'HCM1', 'CLB3']",grn,34.77320283354109
566,STB1,CLB4,"['STB1', 'NRM1', 'HCM1', 'CLB4']",grn,35.4249716012116
567,STB1,CLB5,"['STB1', 'NRM1', 'HCM1', 'CLB5']",grn,22.950430605099456
568,STB1,CLB6,"['STB1', 'NRM1', 'CLB6']",grn,25.199574044020324
569,STB1,CLN1,"['STB1', 'CLN1']",grn,8.079852881493245
570,STB1,CLN2,"['STB1', 'NRM1', 'HCM1', 'CLN2']",grn,22.855124677488313
571,STB1,CLN3,,grn,
572,STB1,FKH1,"['STB1', 'NRM1', 'HCM1', 'FKH1']",grn,37.21829821206342
573,STB1,FKH2,"['STB1', 'NRM1', 'HCM1', 'FKH2']",grn,37.15527088943773
574,STB1,HCM1,"['STB1', 'NRM1', 'HCM1']",grn,22.765464607254607
575,STB1,MBP1,,grn,
576,STB1,MCM1,,grn,
577,STB1,NDD1,"['STB1', 'NRM1', 'NDD1']",grn,16.8452444011312
578,STB1,NRM1,"['STB1', 'NRM1']",grn,13.062769577915716
579,STB1,PLM2,"['STB1', 'PLM2']",grn,14.925650629579732
580,STB1,STB1,,grn,
581,STB1,SWI4,"['STB1', 'SWI4']",grn,1.5335641547394214
582,STB1,SWI5,,grn,
583,STB1,SWI6,,grn,
584,STB1,TOS4,,grn,
585,STB1,WHI5,,grn,
586,STB1,YHP1,,grn,
587,STB1,YOX1,,grn,
588,SWI4,ACE2,,grn,
589,SWI4,CDC20,,grn,
590,SWI4,CDH1,,grn,
591,SWI4,CLB1,,grn,
592,SWI4,CLB2,,grn,
593,SWI4,CLB3,,grn,
594,SWI4,CLB4,,grn,
595,SWI4,CLB5,,grn,
596,SWI4,CLB6,,grn,
597,SWI4,CLN1,,grn,
598,SWI4,CLN2,,grn,
599,SWI4,CLN3,,grn,
600,SWI4,FKH1,,grn,
601,SWI4,FKH2,,grn,
602,SWI4,HCM1,,grn,
603,SWI4,MBP1,,grn,
604,SWI4,MCM1,,grn,
605,SWI4,NDD1,,grn,
606,SWI4,NRM1,,grn,
607,SWI4,PLM2,,grn,
608,SWI4,STB1,,grn,
609,SWI4,SWI4,,grn,
610,SWI4,SWI5,,grn,
611,SWI4,SWI6,,grn,
612,SWI4,TOS4,,grn,
613,SWI4,WHI5,,grn,
614,SWI4,YHP1,,grn,
615,SWI4,YOX1,,grn,
616,SWI5,ACE2,,grn,
617,SWI5,CDC20,"['SWI5', 'SWI5', 'CDC20']",grn,21.095004535323923
618,SWI5,CDH1,,grn,
619,SWI5,CLB1,"['SWI5', 'SWI5', 'CLB1']",grn,20.0643731880711
620,SWI5,CLB2,,grn,
621,SWI5,CLB3,,grn,
622,SWI5,CLB4,,grn,
623,SWI5,CLB5,"['SWI5', 'SWI5', 'CLB5']",grn,21.56758143245256
624,SWI5,CLB6,,grn,
625,SWI5,CLN1,,grn,
626,SWI5,CLN2,,grn,
627,SWI5,CLN3,,grn,
628,SWI5,FKH1,"['SWI5', 'SWI5', 'FKH1']",grn,10.463773780038565
629,SWI5,FKH2,,grn,
630,SWI5,HCM1,,grn,
631,SWI5,MBP1,,grn,
632,SWI5,MCM1,,grn,
633,SWI5,NDD1,,grn,
634,SWI5,NRM1,,grn,
635,SWI5,PLM2,,grn,
636,SWI5,STB1,,grn,
637,SWI5,SWI4,,grn,
638,SWI5,SWI5,"['SWI5', 'SWI5']",grn,4.846814201368454
639,SWI5,SWI6,,grn,
640,SWI5,TOS4,,grn,
641,SWI5,WHI5,,grn,
642,SWI5,YHP1,,grn,
643,SWI5,YOX1,,grn,
644,SWI6,ACE2,,grn,
645,SWI6,CDC20,,grn,
646,SWI6,CDH1,,grn,
647,SWI6,CLB1,"['SWI6', 'HCM1', 'FKH2', 'CLB1']",grn,27.82951913211087
648,SWI6,CLB2,"['SWI6', 'YOX1', 'CLB2']",grn,10.13780024157367
